"GEOID","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT","med_income","med_homeval"
"47125",0.2,0.061,0.267,0.059,0.086,0.095,0.267,0.155,0.093,0.009,0.058,0.042,0.027,0.036,0.017,0.083,63768,187700
"47127",0.275,0.042,0.218,0.139,0.058,0.212,0.194,0.157,0.055,0.001,0.003,0.103,0.021,0.029,0.014,0.245,64926,219300
"47129",0.308,0.084,0.202,0.186,0.11,0.183,0.192,0.232,0.045,0.001,0.002,0.259,0.019,0.044,0.107,0.192,45133,104300
"47131",0.283,0.05,0.201,0.152,0.088,0.204,0.218,0.227,0.054,0.006,0.014,0.113,0.014,0.073,0.013,0.18,45606,102600
"47133",0.287,0.035,0.187,0.178,0.073,0.201,0.211,0.173,0.055,0.001,0.006,0.191,0.012,0.046,0.012,0.264,39737,137100
"47135",0.28,0.109,0.174,0.2,0.164,0.217,0.223,0.187,0.021,0,0.006,0.314,0,0.036,0.019,0.248,51786,104300
"47137",0.328,0.045,0.152,0.185,0.084,0.276,0.179,0.267,0.021,0,0.004,0.203,0.004,0.082,0.014,0.27,42931,136800
"47139",0.252,0.078,0.159,0.153,0.155,0.209,0.195,0.218,0.034,0.001,0.003,0.25,0.025,0.057,0.014,0.179,49446,122800
"47141",0.28,0.045,0.274,0.108,0.09,0.163,0.206,0.139,0.059,0.012,0.063,0.083,0.017,0.041,0.041,0.159,49228,172900
"47143",0.297,0.079,0.161,0.167,0.111,0.189,0.22,0.215,0.063,0.011,0.008,0.211,0.012,0.066,0.023,0.127,48872,140700
"47145",0.221,0.049,0.2,0.101,0.074,0.23,0.187,0.186,0.032,0.003,0.036,0.135,0.015,0.054,0.013,0.15,60044,162900
"47147",0.179,0.038,0.212,0.114,0.094,0.149,0.237,0.138,0.056,0.014,0.028,0.077,0.015,0.03,0.012,0.148,67597,229700
"47149",0.172,0.039,0.25,0.073,0.093,0.108,0.244,0.111,0.073,0.027,0.12,0.028,0.026,0.025,0.014,0.069,72985,256700
"47151",0.397,0.096,0.235,0.196,0.12,0.169,0.238,0.267,0.104,0.003,0.021,0.293,0.001,0.042,0.014,0.286,38409,102200
"47153",0.334,0.033,0.2,0.16,0.122,0.206,0.199,0.214,0.057,0.011,0.004,0.225,0.014,0.037,0.015,0.217,47835,152000
"47155",0.232,0.035,0.227,0.123,0.132,0.2,0.204,0.174,0.052,0.02,0.082,0.113,0.026,0.036,0.011,0.177,54363,203200
"47157",0.278,0.073,0.327,0.104,0.119,0.142,0.25,0.127,0.103,0.019,0.123,0.011,0.02,0.084,0.017,0.156,55015,170200
"47159",0.237,0.035,0.2,0.134,0.096,0.164,0.224,0.17,0.066,0.006,0.006,0.193,0.024,0.053,0.009,0.149,52018,172900
"47161",0.198,0.038,0.176,0.115,0.109,0.205,0.22,0.184,0.031,0.01,0.01,0.177,0.031,0.056,0.009,0.185,51460,149900
"47163",0.255,0.062,0.222,0.107,0.093,0.22,0.191,0.188,0.056,0.002,0.049,0.109,0.012,0.049,0.016,0.147,49661,152000
"47165",0.158,0.035,0.239,0.087,0.079,0.163,0.232,0.129,0.058,0.012,0.097,0.063,0.02,0.033,0.008,0.089,73517,276600
"47167",0.202,0.054,0.202,0.11,0.093,0.15,0.24,0.178,0.083,0.004,0.011,0.102,0.013,0.043,0.012,0.167,63783,168100
"47169",0.183,0.008,0.291,0.14,0.087,0.128,0.165,0.121,0.06,0.001,0.025,0.2,0,0.023,0.208,0.203,58274,178200
"47171",0.305,0.054,0.214,0.12,0.089,0.234,0.182,0.222,0.044,0.006,0.015,0.176,0.006,0.055,0.029,0.19,47610,137100
"47173",0.254,0.057,0.176,0.196,0.086,0.182,0.215,0.219,0.056,0.001,0.009,0.238,0.023,0.032,0.009,0.256,50868,144400
"47175",0.3,0.041,0.185,0.194,0.166,0.24,0.195,0.253,0.025,0.002,0,0.263,0.04,0.113,0.017,0.219,44444,107000
"47177",0.284,0.039,0.207,0.163,0.136,0.178,0.234,0.189,0.087,0.015,0.02,0.122,0.046,0.051,0.016,0.204,46189,123700
"47179",0.257,0.05,0.233,0.09,0.099,0.185,0.187,0.165,0.051,0.01,0.091,0.091,0.019,0.055,0.037,0.137,52503,176500
"47181",0.322,0.046,0.195,0.177,0.127,0.19,0.181,0.194,0.065,0.004,0.011,0.259,0.025,0.066,0.114,0.18,45402,114000
"47183",0.307,0.04,0.204,0.125,0.116,0.184,0.187,0.199,0.066,0.005,0.021,0.138,0.011,0.067,0.07,0.213,43773,99800
"47185",0.3,0.054,0.229,0.182,0.129,0.204,0.219,0.167,0.051,0.001,0.005,0.197,0.019,0.041,0.013,0.179,44777,137300
"47187",0.065,0.021,0.163,0.04,0.042,0.139,0.264,0.073,0.046,0.008,0.095,0.015,0.011,0.022,0.002,0.044,116492,497500
