"GEOID","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT","med_income","med_homeval"
"01001",0.202,0.028,0.197,0.096,0.074,0.156,0.234,0.164,0.056,0.004,0.039,0.156,0.014,0.04,0.009,0.109,62660,164900
"01003",0.183,0.034,0.232,0.084,0.093,0.212,0.212,0.139,0.042,0.008,0.166,0.102,0.019,0.023,0.015,0.109,64346,226600
"01005",0.377,0.058,0.251,0.235,0.107,0.198,0.207,0.181,0.113,0.02,0.014,0.292,0.038,0.117,0.12,0.318,36422,89500
"01007",0.29,0.087,0.232,0.211,0.084,0.168,0.212,0.196,0.072,0.003,0.027,0.306,0.013,0.075,0.064,0.202,54277,102900
"01009",0.229,0.06,0.194,0.182,0.102,0.183,0.23,0.17,0.053,0.022,0.009,0.239,0.023,0.048,0.01,0.169,52830,138100
"01011",0.474,0.037,0.233,0.266,0.122,0.166,0.211,0.112,0.163,0.018,0.041,0.424,0.008,0.104,0.071,0.384,29063,72600
"01013",0.338,0.068,0.225,0.124,0.11,0.212,0.223,0.162,0.072,0.001,0.008,0.215,0.006,0.05,0.018,0.214,45236,93500
"01015",0.287,0.069,0.23,0.149,0.108,0.179,0.212,0.202,0.069,0.005,0.037,0.146,0.017,0.056,0.032,0.166,50977,123200
"01017",0.288,0.036,0.231,0.165,0.108,0.197,0.208,0.208,0.056,0.003,0.072,0.136,0.053,0.07,0.018,0.214,47232,107000
"01019",0.256,0.04,0.199,0.181,0.102,0.232,0.189,0.203,0.046,0.009,0.012,0.269,0.007,0.032,0.012,0.218,43475,141000
"01021",0.228,0.053,0.16,0.178,0.115,0.168,0.237,0.194,0.038,0.021,0.005,0.306,0.026,0.033,0.01,0.186,56243,117300
"01023",0.319,0.052,0.193,0.176,0.082,0.233,0.199,0.236,0.065,0.003,0.009,0.334,0.006,0.057,0.013,0.305,38581,79800
"01025",0.297,0.125,0.2,0.186,0.095,0.204,0.22,0.196,0.078,0.001,0.014,0.252,0.014,0.106,0.016,0.29,44108,113700
"01027",0.291,0.057,0.206,0.167,0.081,0.208,0.205,0.196,0.056,0,0.007,0.239,0.021,0.064,0.018,0.249,45163,122400
"01029",0.277,0.026,0.178,0.175,0.101,0.196,0.228,0.214,0.049,0.004,0.003,0.315,0.026,0.068,0.011,0.26,48333,116500
"01031",0.262,0.048,0.206,0.134,0.109,0.171,0.237,0.183,0.088,0.017,0.016,0.133,0.02,0.04,0.013,0.148,59034,157700
"01033",0.231,0.034,0.229,0.136,0.079,0.2,0.209,0.173,0.063,0.009,0.031,0.084,0.014,0.047,0.009,0.238,52017,129700
"01035",0.386,0.044,0.179,0.106,0.086,0.234,0.205,0.209,0.056,0,0.013,0.26,0.007,0.07,0.005,0.33,37986,82800
"01037",0.222,0.044,0.153,0.165,0.062,0.244,0.161,0.256,0.047,0,0.001,0.3,0.037,0.038,0.035,0.215,50013,95900
"01039",0.301,0.055,0.209,0.142,0.103,0.217,0.219,0.208,0.072,0.001,0.01,0.204,0.016,0.064,0.019,0.217,46186,111900
"01041",0.284,0.061,0.207,0.179,0.085,0.198,0.229,0.169,0.053,0.005,0.004,0.262,0.011,0.073,0.019,0.346,43103,85800
"01043",0.233,0.043,0.186,0.154,0.106,0.188,0.223,0.182,0.058,0.008,0.027,0.201,0.019,0.029,0.014,0.153,52690,143700
"01045",0.296,0.078,0.233,0.143,0.1,0.175,0.231,0.208,0.075,0.009,0.017,0.18,0.007,0.052,0.018,0.172,50052,112900
"01047",0.408,0.091,0.284,0.147,0.095,0.194,0.236,0.198,0.087,0.002,0.017,0.174,0.014,0.146,0.015,0.239,34957,85400
"01049",0.336,0.039,0.206,0.223,0.146,0.173,0.239,0.154,0.055,0.047,0.011,0.228,0.034,0.042,0.015,0.171,44037,115100
"01051",0.187,0.042,0.185,0.115,0.082,0.158,0.217,0.152,0.069,0.007,0.032,0.163,0.013,0.043,0.049,0.117,67597,174800
"01053",0.383,0.092,0.224,0.177,0.123,0.186,0.227,0.203,0.063,0.004,0.007,0.204,0.005,0.061,0.069,0.286,38464,108200
"01055",0.272,0.06,0.221,0.139,0.117,0.194,0.214,0.174,0.069,0.009,0.031,0.107,0.017,0.042,0.015,0.164,46984,129600
"01057",0.345,0.096,0.197,0.163,0.101,0.212,0.211,0.235,0.048,0.001,0.026,0.189,0.011,0.107,0.02,0.266,43960,98400
"01059",0.333,0.038,0.166,0.199,0.125,0.171,0.247,0.17,0.069,0.042,0.022,0.155,0.016,0.092,0.009,0.378,43633,107200
"01061",0.32,0.039,0.189,0.166,0.121,0.203,0.219,0.239,0.04,0.006,0.004,0.255,0.016,0.068,0.01,0.254,43581,115300
"01063",0.5,0.045,0.251,0.181,0.139,0.237,0.22,0.282,0.067,0,0.035,0.342,0.003,0.132,0.017,0.437,28826,80300
"01065",0.359,0.076,0.286,0.194,0.07,0.197,0.234,0.25,0.033,0.002,0.009,0.382,0.026,0.115,0.015,0.294,32294,89700
"01067",0.259,0.053,0.183,0.185,0.096,0.229,0.204,0.206,0.049,0.003,0.008,0.252,0.011,0.076,0.017,0.208,55870,122800
"01069",0.278,0.05,0.24,0.124,0.117,0.182,0.229,0.168,0.081,0.005,0.041,0.125,0.013,0.062,0.011,0.171,50222,146300
"01071",0.31,0.06,0.219,0.18,0.11,0.206,0.206,0.217,0.063,0.007,0.011,0.215,0.022,0.046,0.013,0.166,43785,114200
"01073",0.246,0.054,0.283,0.089,0.09,0.163,0.227,0.149,0.074,0.01,0.139,0.029,0.013,0.069,0.028,0.129,58330,176900
"01075",0.267,0.05,0.173,0.179,0.078,0.221,0.218,0.224,0.041,0.001,0.025,0.203,0.01,0.057,0.012,0.294,43324,102100
"01077",0.244,0.036,0.208,0.112,0.095,0.201,0.194,0.153,0.057,0.009,0.071,0.086,0.009,0.061,0.027,0.194,50000,154800
"01079",0.272,0.03,0.169,0.173,0.091,0.186,0.217,0.214,0.033,0.006,0.01,0.268,0.01,0.051,0.008,0.298,51712,124300
"01081",0.27,0.038,0.273,0.083,0.086,0.127,0.209,0.132,0.064,0.013,0.127,0.146,0.022,0.048,0.042,0.139,57191,186600
"01083",0.184,0.041,0.167,0.127,0.082,0.154,0.221,0.143,0.053,0.01,0.036,0.104,0.017,0.031,0.029,0.121,70736,185300
"01085",0.45,0.075,0.362,0.167,0.089,0.194,0.22,0.224,0.105,0,0,0.357,0.017,0.111,0.014,0.385,31961,77700
"01087",0.367,0.125,0.247,0.173,0.111,0.202,0.166,0.184,0.101,0.004,0.05,0.191,0.014,0.108,0.136,0.286,39303,84300
"01089",0.178,0.042,0.214,0.078,0.078,0.154,0.215,0.135,0.069,0.011,0.102,0.038,0.013,0.041,0.028,0.098,71153,202500
"01091",0.325,0.028,0.221,0.109,0.093,0.199,0.227,0.226,0.077,0,0.021,0.285,0.003,0.086,0.014,0.226,35379,89500
"01093",0.301,0.065,0.21,0.194,0.11,0.209,0.211,0.257,0.034,0.003,0.014,0.217,0.027,0.05,0.022,0.243,44551,89100
"01095",0.266,0.038,0.206,0.156,0.111,0.172,0.252,0.141,0.076,0.034,0.019,0.132,0.016,0.048,0.013,0.126,52938,147600
"01097",0.283,0.059,0.283,0.119,0.113,0.167,0.232,0.138,0.079,0.009,0.101,0.072,0.019,0.067,0.019,0.167,51169,144100
"01099",0.342,0.122,0.216,0.163,0.11,0.21,0.211,0.164,0.054,0.001,0.014,0.205,0.019,0.063,0.013,0.386,32631,103700
"01101",0.3,0.068,0.304,0.12,0.106,0.156,0.236,0.164,0.12,0.014,0.091,0.038,0.024,0.069,0.035,0.131,52511,134700
"01103",0.234,0.042,0.191,0.148,0.11,0.179,0.229,0.167,0.058,0.025,0.051,0.103,0.025,0.051,0.017,0.184,56128,152400
"01105",0.492,0.157,0.264,0.204,0.066,0.205,0.211,0.252,0.12,0,0.005,0.294,0.004,0.104,0.109,0.34,27057,74400
"01107",0.336,0.053,0.221,0.151,0.085,0.194,0.193,0.241,0.081,0.018,0.023,0.243,0.01,0.078,0.089,0.248,43389,105100
"01109",0.34,0.049,0.305,0.121,0.089,0.153,0.189,0.151,0.077,0.008,0.054,0.244,0.009,0.067,0.072,0.239,40106,130900
"01111",0.272,0.032,0.187,0.18,0.084,0.209,0.209,0.19,0.075,0.002,0.009,0.271,0.012,0.053,0.026,0.198,47081,124200
"01113",0.32,0.065,0.331,0.148,0.117,0.149,0.241,0.21,0.1,0.006,0.048,0.132,0.01,0.088,0.01,0.25,44065,130400
"01115",0.165,0.043,0.179,0.127,0.082,0.174,0.223,0.163,0.054,0.001,0.011,0.216,0.017,0.033,0.022,0.104,65070,170900
"01117",0.116,0.031,0.189,0.062,0.064,0.162,0.228,0.12,0.05,0.013,0.071,0.078,0.01,0.026,0.016,0.071,82592,235500
"01119",0.441,0.082,0.269,0.112,0.097,0.186,0.189,0.203,0.109,0.005,0.021,0.319,0.013,0.077,0.11,0.301,27099,69800
"01121",0.297,0.084,0.234,0.168,0.094,0.186,0.207,0.215,0.092,0.006,0.019,0.256,0.017,0.077,0.046,0.16,45400,114800
"01123",0.274,0.104,0.199,0.181,0.095,0.223,0.204,0.208,0.088,0.01,0.039,0.167,0.014,0.069,0.019,0.201,50652,111900
"01125",0.259,0.055,0.273,0.094,0.067,0.136,0.204,0.125,0.075,0.007,0.169,0.089,0.017,0.057,0.057,0.137,57508,183800
"01127",0.28,0.057,0.181,0.173,0.121,0.196,0.222,0.243,0.061,0.005,0.008,0.286,0.014,0.047,0.016,0.196,47442,116200
"01129",0.302,0.063,0.15,0.117,0.092,0.198,0.206,0.156,0.052,0,0,0.27,0.013,0.041,0.009,0.283,44512,111600
"01131",0.442,0.107,0.241,0.223,0.094,0.208,0.23,0.212,0.112,0.005,0.001,0.377,0.027,0.136,0.02,0.27,36385,72800
"01133",0.294,0.044,0.186,0.2,0.113,0.217,0.202,0.225,0.057,0.009,0.011,0.303,0.013,0.053,0.017,0.228,46096,105000
"02013",0.237,0.044,0.157,0.19,0.397,0.116,0.122,0.104,0.067,0.145,0.036,0.069,0.051,0.25,0.363,0.423,72258,144100
"02016",0.154,0.03,0.126,0.105,0.172,0.063,0.17,0.075,0.037,0.1,0.19,0.02,0.102,0.099,0.291,0.223,90708,325500
"02020",0.158,0.052,0.246,0.058,0.105,0.12,0.239,0.112,0.06,0.021,0.118,0.039,0.045,0.057,0.026,0.063,88871,327500
"02050",0.395,0.162,0.172,0.173,0.14,0.077,0.348,0.115,0.082,0.013,0.048,0.038,0.337,0.619,0.061,0.227,57460,102300
"02060",0.105,0.027,0.074,0.05,0.191,0.126,0.191,0.149,0.022,0,0.023,0.065,0.046,0.102,0.15,0.222,81563,234000
"02063",0.106,0.088,0.201,0.055,0.147,0.132,0.217,0.159,0.054,0.017,0.101,0.156,0.056,0.057,0.036,0.111,87868,255100
"02066",0.214,0.065,0.133,0.076,0.196,0.172,0.265,0.19,0.061,0,0.011,0.082,0.024,0.07,0.009,0.225,67439,232200
"02068",0.093,0.019,0.156,0.033,0.03,0.141,0.129,0.115,0.013,0.004,0.032,0.067,0.04,0.032,0.426,0.171,78750,203600
"02070",0.273,0.113,0.169,0.119,0.181,0.117,0.302,0.113,0.116,0.017,0.03,0.01,0.281,0.362,0.085,0.243,62115,155900
"02090",0.134,0.055,0.246,0.053,0.086,0.118,0.238,0.126,0.056,0.008,0.085,0.026,0.048,0.048,0.042,0.1,78321,245700
"02100",0.15,0.043,0.244,0.023,0.091,0.216,0.302,0.151,0.01,0,0.016,0.067,0.052,0.09,0.028,0.163,63355,256300
"02105",0.242,0.14,0.157,0.06,0.195,0.24,0.133,0.199,0.021,0.006,0.011,0.057,0.023,0.331,0.067,0.392,55990,224800
"02110",0.123,0.045,0.2,0.046,0.069,0.148,0.206,0.115,0.049,0.01,0.14,0.078,0.029,0.096,0.019,0.08,90126,358200
"02122",0.191,0.072,0.223,0.058,0.127,0.186,0.221,0.155,0.043,0.004,0.025,0.042,0.044,0.048,0.027,0.142,70609,249100
"02130",0.166,0.041,0.256,0.053,0.094,0.167,0.21,0.141,0.046,0.007,0.116,0.033,0.039,0.118,0.02,0.104,77820,315200
"02150",0.15,0.057,0.166,0.088,0.129,0.123,0.24,0.092,0.044,0.072,0.1,0.041,0.118,0.089,0.032,0.094,83765,311100
"02158",0.531,0.209,0.161,0.186,0.141,0.061,0.412,0.137,0.174,0.003,0.004,0.012,0.407,0.859,0.04,0.235,37975,66200
"02164",0.269,0.14,0.089,0.092,0.315,0.092,0.255,0.137,0.107,0.007,0.001,0.008,0.153,0.42,0.137,0.252,49688,116400
"02170",0.166,0.07,0.243,0.058,0.133,0.129,0.261,0.139,0.057,0.007,0.022,0.028,0.053,0.037,0.022,0.089,79300,265200
"02180",0.357,0.165,0.198,0.118,0.147,0.075,0.34,0.099,0.098,0.003,0.032,0.006,0.313,0.572,0.068,0.172,63977,151900
"02185",0.127,0.068,0.164,0.093,0.15,0.076,0.228,0.114,0.122,0.014,0.121,0.009,0.256,0.365,0.354,0.356,83992,173500
"02188",0.313,0.155,0.154,0.139,0.192,0.079,0.362,0.103,0.099,0.003,0.047,0.016,0.327,0.653,0.067,0.153,68654,130700
"02195",0.124,0.044,0.211,0.13,0.096,0.25,0.18,0.19,0.035,0.068,0.036,0.086,0.016,0.126,0.039,0.176,71696,246900
"02198",0.256,0.075,0.158,0.075,0.189,0.193,0.215,0.213,0.06,0.003,0.034,0.169,0.049,0.083,0.021,0.267,55857,192500
"02220",0.117,0.05,0.213,0.048,0.123,0.162,0.202,0.142,0.045,0.009,0.06,0.097,0.013,0.105,0.035,0.125,82083,367800
"02230",0.13,0.11,0.129,0.073,0.097,0.138,0.159,0.143,0.044,0.011,0.012,0.089,0.031,0.063,0.177,0.11,75000,406500
"02240",0.222,0.066,0.173,0.063,0.164,0.142,0.268,0.191,0.036,0.022,0.027,0.044,0.062,0.057,0.063,0.248,68634,192300
"02275",0.166,0.034,0.19,0.129,0.165,0.27,0.221,0.231,0.044,0.001,0.017,0.082,0.014,0.063,0.026,0.182,54891,230800
"02282",0.155,0.018,0.061,0.06,0.232,0.246,0.186,0.096,0.013,0.015,0.01,0.017,0.052,0.126,0.151,0.173,72083,168100
"02290",0.354,0.111,0.152,0.13,0.21,0.162,0.272,0.178,0.09,0.001,0.006,0.022,0.145,0.469,0.085,0.517,43405,77400
"04001",0.471,0.095,0.129,0.16,0.236,0.158,0.265,0.14,0.087,0.048,0.006,0.232,0.125,0.127,0.022,0.525,34788,57300
"04003",0.27,0.068,0.231,0.111,0.077,0.232,0.211,0.179,0.063,0.037,0.064,0.201,0.025,0.06,0.048,0.147,55077,159500
"04005",0.267,0.07,0.287,0.085,0.112,0.134,0.199,0.127,0.043,0.021,0.097,0.131,0.071,0.054,0.088,0.175,61888,320400
"04007",0.306,0.069,0.242,0.129,0.098,0.296,0.194,0.212,0.036,0.006,0.012,0.198,0.044,0.069,0.023,0.237,51406,190700
"04009",0.259,0.06,0.207,0.154,0.085,0.14,0.263,0.129,0.069,0.015,0.029,0.196,0.059,0.049,0.083,0.175,57105,150400
"04011",0.165,0.03,0.108,0.141,0.023,0.137,0.273,0.125,0.092,0.009,0.028,0.214,0.041,0.027,0.009,0.143,67723,92600
"04012",0.309,0.107,0.207,0.174,0.152,0.405,0.162,0.232,0.06,0.051,0.005,0.556,0.092,0.048,0.011,0.288,39732,104300
"04013",0.19,0.048,0.266,0.108,0.11,0.156,0.231,0.117,0.064,0.044,0.158,0.049,0.044,0.052,0.014,0.087,72944,304700
"04015",0.271,0.075,0.259,0.122,0.091,0.313,0.165,0.223,0.049,0.015,0.042,0.251,0.031,0.044,0.017,0.143,49738,192300
"04017",0.388,0.097,0.188,0.144,0.145,0.19,0.259,0.179,0.073,0.024,0.014,0.199,0.093,0.085,0.027,0.303,46126,145700
"04019",0.241,0.059,0.285,0.105,0.091,0.204,0.202,0.15,0.061,0.035,0.141,0.099,0.035,0.072,0.028,0.101,59215,217700
"04021",0.2,0.064,0.228,0.115,0.096,0.208,0.22,0.161,0.054,0.028,0.022,0.173,0.041,0.035,0.048,0.093,65488,218400
"04023",0.334,0.098,0.275,0.22,0.14,0.185,0.263,0.129,0.07,0.216,0.02,0.07,0.061,0.06,0.006,0.173,45089,165500
"04025",0.214,0.049,0.259,0.079,0.109,0.327,0.158,0.181,0.032,0.015,0.04,0.168,0.023,0.039,0.02,0.104,56170,295400
"04027",0.317,0.083,0.268,0.238,0.135,0.197,0.251,0.129,0.088,0.139,0.042,0.289,0.102,0.053,0.033,0.157,52563,148900
"05001",0.277,0.065,0.217,0.14,0.063,0.199,0.229,0.209,0.039,0.003,0.026,0.134,0.026,0.097,0.015,0.247,55022,114200
"05003",0.376,0.06,0.229,0.141,0.084,0.211,0.226,0.229,0.051,0.013,0.022,0.202,0.014,0.089,0.009,0.252,42683,78100
"05005",0.289,0.051,0.241,0.104,0.065,0.311,0.176,0.261,0.035,0.001,0.031,0.136,0.021,0.044,0.01,0.176,43530,138500
"05007",0.149,0.029,0.172,0.099,0.094,0.136,0.257,0.1,0.063,0.037,0.08,0.043,0.037,0.028,0.01,0.088,76887,211100
"05009",0.229,0.044,0.216,0.094,0.074,0.208,0.227,0.2,0.038,0.002,0.027,0.09,0.008,0.055,0.012,0.14,48625,133500
"05011",0.33,0.056,0.237,0.142,0.125,0.185,0.245,0.2,0.055,0.011,0.01,0.16,0.025,0.086,0.018,0.274,41972,78600
"05013",0.211,0.091,0.099,0.147,0.081,0.214,0.187,0.245,0.042,0.012,0.004,0.347,0.001,0.033,0.037,0.23,55904,75900
"05015",0.263,0.031,0.234,0.142,0.124,0.231,0.22,0.139,0.036,0.044,0.021,0.115,0.045,0.05,0.011,0.179,53366,154400
"05017",0.431,0.109,0.274,0.204,0.098,0.213,0.219,0.244,0.092,0.011,0.043,0.148,0.025,0.114,0.072,0.254,33770,70900
"05019",0.317,0.041,0.243,0.103,0.093,0.162,0.194,0.211,0.081,0.005,0.071,0.169,0.028,0.063,0.12,0.223,45351,120600
"05021",0.287,0.056,0.211,0.157,0.08,0.221,0.209,0.204,0.057,0,0.007,0.124,0.011,0.059,0.006,0.232,39817,75800
"05023",0.268,0.06,0.183,0.121,0.072,0.274,0.189,0.22,0.039,0.003,0.002,0.208,0.02,0.031,0.013,0.186,48400,139200
"05025",0.318,0.008,0.19,0.081,0.035,0.208,0.206,0.224,0.082,0,0.001,0.267,0.011,0.07,0.01,0.254,48183,96200
"05027",0.313,0.032,0.223,0.117,0.074,0.172,0.21,0.188,0.08,0.006,0.033,0.19,0.041,0.042,0.087,0.243,41115,106300
"05029",0.338,0.071,0.203,0.108,0.073,0.195,0.225,0.244,0.08,0.009,0.017,0.183,0.016,0.075,0.009,0.229,45812,116800
"05031",0.289,0.059,0.253,0.098,0.086,0.136,0.249,0.184,0.097,0.009,0.079,0.05,0.022,0.068,0.031,0.144,51788,157100
"05033",0.281,0.053,0.206,0.145,0.089,0.172,0.24,0.191,0.083,0.014,0.03,0.113,0.035,0.048,0.012,0.181,52057,131600
"05035",0.325,0.104,0.296,0.144,0.086,0.146,0.271,0.175,0.121,0.004,0.061,0.062,0.027,0.096,0.014,0.159,46452,131400
"05037",0.343,0.081,0.269,0.165,0.074,0.185,0.24,0.191,0.129,0.006,0.015,0.174,0.052,0.093,0.012,0.21,45247,85300
"05039",0.218,0.06,0.146,0.116,0.054,0.245,0.203,0.282,0.046,0.002,0.037,0.18,0.019,0.077,0.062,0.292,34337,78100
"05041",0.447,0.052,0.267,0.21,0.089,0.192,0.253,0.204,0.118,0.02,0.029,0.104,0.04,0.146,0.009,0.276,33295,84800
"05043",0.33,0.032,0.205,0.126,0.047,0.178,0.23,0.19,0.065,0.009,0.05,0.246,0.016,0.076,0.048,0.237,42891,103900
"05045",0.258,0.033,0.277,0.07,0.078,0.133,0.226,0.141,0.056,0.007,0.11,0.112,0.021,0.048,0.041,0.097,54845,171800
"05047",0.339,0.051,0.216,0.138,0.067,0.199,0.226,0.242,0.048,0.003,0.011,0.128,0.026,0.056,0.021,0.254,42128,99900
"05049",0.399,0.017,0.262,0.131,0.106,0.255,0.211,0.237,0.053,0.001,0.006,0.249,0.044,0.054,0.015,0.381,36950,88100
"05051",0.264,0.057,0.257,0.094,0.092,0.24,0.198,0.221,0.08,0.014,0.07,0.141,0.025,0.062,0.018,0.178,49985,145900
"05053",0.199,0.033,0.19,0.074,0.061,0.182,0.217,0.196,0.066,0.001,0.035,0.25,0.014,0.024,0.009,0.163,62479,124900
"05055",0.286,0.075,0.229,0.121,0.091,0.162,0.241,0.2,0.072,0.002,0.039,0.123,0.024,0.049,0.016,0.155,51367,136700
"05057",0.328,0.044,0.208,0.161,0.113,0.183,0.252,0.201,0.072,0.037,0.016,0.213,0.018,0.078,0.019,0.224,43592,93000
"05059",0.3,0.046,0.196,0.115,0.077,0.192,0.196,0.247,0.061,0.001,0.012,0.222,0.028,0.059,0.068,0.242,46724,102300
"05061",0.286,0.064,0.24,0.116,0.124,0.181,0.259,0.184,0.108,0.028,0.008,0.173,0.037,0.044,0.015,0.238,39558,107600
"05063",0.301,0.052,0.232,0.132,0.101,0.174,0.238,0.196,0.052,0.011,0.025,0.248,0.03,0.061,0.027,0.319,50028,100100
"05065",0.342,0.075,0.216,0.168,0.068,0.254,0.173,0.262,0.045,0,0.009,0.142,0.016,0.072,0.082,0.366,45318,87900
"05067",0.36,0.109,0.225,0.137,0.084,0.178,0.195,0.232,0.077,0.001,0.009,0.096,0.004,0.08,0.137,0.239,39154,75300
"05069",0.319,0.078,0.27,0.109,0.062,0.177,0.215,0.191,0.099,0.007,0.069,0.12,0.017,0.077,0.091,0.245,43720,90500
"05071",0.377,0.048,0.272,0.195,0.082,0.167,0.247,0.206,0.072,0.036,0.018,0.118,0.03,0.052,0.029,0.303,40628,108300
"05073",0.366,0.087,0.196,0.189,0.093,0.242,0.19,0.217,0.033,0.012,0.007,0.298,0.017,0.074,0.018,0.326,36083,60800
"05075",0.332,0.067,0.182,0.177,0.088,0.188,0.225,0.234,0.07,0.002,0.02,0.117,0.022,0.055,0.035,0.199,40746,75900
"05077",0.401,0.143,0.311,0.165,0.076,0.197,0.186,0.248,0.121,0.01,0.014,0.092,0.022,0.217,0.174,0.24,29082,75300
"05079",0.287,0.04,0.207,0.165,0.082,0.15,0.147,0.178,0.069,0.004,0.011,0.299,0.017,0.048,0.355,0.418,49474,91800
"05081",0.25,0.08,0.141,0.094,0.049,0.211,0.221,0.183,0.056,0.001,0,0.192,0.024,0.049,0.014,0.26,57614,86700
"05083",0.29,0.055,0.172,0.118,0.067,0.2,0.211,0.221,0.058,0.004,0.015,0.12,0.024,0.052,0.028,0.226,46570,106400
"05085",0.197,0.045,0.209,0.101,0.075,0.14,0.25,0.162,0.08,0.006,0.02,0.135,0.018,0.049,0.01,0.134,62561,153600
"05087",0.301,0.048,0.165,0.15,0.104,0.195,0.234,0.198,0.063,0,0.011,0.182,0.035,0.032,0.005,0.166,47862,121500
"05089",0.301,0.07,0.199,0.123,0.073,0.288,0.184,0.25,0.041,0.003,0.012,0.178,0.021,0.042,0.009,0.126,41038,139200
"05091",0.334,0.077,0.253,0.133,0.102,0.166,0.236,0.193,0.107,0.001,0.057,0.127,0.037,0.089,0.032,0.204,46610,114100
"05093",0.338,0.098,0.233,0.172,0.083,0.15,0.26,0.208,0.098,0.008,0.033,0.065,0.031,0.104,0.02,0.188,45740,96200
"05095",0.347,0.11,0.224,0.198,0.087,0.235,0.216,0.246,0.064,0,0.033,0.156,0.055,0.156,0.014,0.269,41667,74600
"05097",0.317,0.073,0.162,0.133,0.117,0.27,0.18,0.269,0.047,0.012,0.008,0.281,0.007,0.046,0.015,0.238,41032,116800
"05099",0.37,0.078,0.29,0.104,0.049,0.21,0.225,0.224,0.084,0.001,0.024,0.242,0.031,0.046,0.022,0.324,42670,71100
"05101",0.235,0.038,0.208,0.151,0.061,0.267,0.194,0.194,0.035,0,0.016,0.124,0.017,0.022,0.01,0.244,42817,147200
"05103",0.321,0.065,0.212,0.118,0.065,0.206,0.224,0.269,0.088,0.001,0.008,0.149,0.01,0.124,0.017,0.184,43338,78800
"05105",0.294,0.046,0.143,0.09,0.053,0.203,0.224,0.235,0.045,0.003,0.002,0.22,0.038,0.061,0.015,0.209,47500,117600
"05107",0.444,0.133,0.273,0.18,0.076,0.196,0.264,0.225,0.116,0,0.042,0.11,0.023,0.139,0.013,0.239,32235,73400
"05109",0.291,0.031,0.191,0.113,0.102,0.205,0.217,0.24,0.037,0.014,0.009,0.242,0.034,0.049,0.02,0.232,46672,86900
"05111",0.352,0.051,0.227,0.182,0.093,0.183,0.239,0.236,0.084,0.001,0.014,0.125,0.013,0.087,0.015,0.215,42854,82000
"05113",0.309,0.09,0.193,0.12,0.095,0.227,0.227,0.219,0.041,0.009,0.024,0.181,0.021,0.053,0.008,0.22,43444,108100
"05115",0.315,0.048,0.251,0.147,0.085,0.159,0.229,0.189,0.073,0.018,0.034,0.132,0.022,0.045,0.051,0.164,47322,132400
"05117",0.263,0.041,0.164,0.144,0.072,0.236,0.2,0.233,0.049,0.007,0.022,0.215,0.003,0.046,0.019,0.284,47335,80200
"05119",0.266,0.052,0.282,0.079,0.088,0.162,0.23,0.156,0.086,0.015,0.153,0.046,0.018,0.074,0.018,0.143,55235,166300
"05121",0.351,0.075,0.212,0.126,0.075,0.197,0.238,0.223,0.039,0.009,0.013,0.117,0.03,0.06,0.017,0.29,42225,96500
"05123",0.429,0.066,0.303,0.158,0.087,0.174,0.213,0.209,0.123,0.022,0.03,0.112,0.018,0.129,0.128,0.255,34981,68100
"05125",0.173,0.038,0.187,0.081,0.058,0.183,0.23,0.158,0.058,0.009,0.047,0.155,0.018,0.037,0.01,0.126,68605,168100
"05127",0.28,0.057,0.187,0.162,0.105,0.208,0.232,0.203,0.044,0.018,0.013,0.165,0.027,0.093,0.008,0.268,43577,82200
"05129",0.384,0.052,0.205,0.18,0.057,0.253,0.202,0.265,0.029,0.003,0.019,0.188,0.003,0.077,0.011,0.272,39627,101500
"05131",0.287,0.052,0.229,0.15,0.112,0.165,0.238,0.209,0.072,0.034,0.087,0.033,0.033,0.063,0.015,0.177,50226,136600
"05133",0.32,0.046,0.193,0.265,0.184,0.137,0.283,0.14,0.074,0.088,0.008,0.246,0.084,0.047,0.007,0.223,49470,94200
"05135",0.313,0.062,0.224,0.154,0.058,0.253,0.207,0.243,0.062,0.001,0.015,0.121,0.023,0.048,0.012,0.315,37361,77000
"05137",0.391,0.054,0.218,0.139,0.086,0.273,0.198,0.279,0.079,0,0.014,0.249,0.032,0.076,0.012,0.397,32813,121600
"05139",0.288,0.037,0.238,0.128,0.062,0.184,0.239,0.163,0.062,0.008,0.012,0.205,0.032,0.052,0.014,0.232,46444,89200
"05141",0.346,0.047,0.243,0.156,0.094,0.268,0.194,0.264,0.06,0.005,0.031,0.202,0.023,0.064,0.012,0.244,40763,106600
"05143",0.256,0.043,0.254,0.13,0.122,0.12,0.237,0.11,0.063,0.046,0.145,0.047,0.042,0.046,0.033,0.13,56610,201800
"05145",0.296,0.052,0.237,0.137,0.096,0.165,0.232,0.187,0.086,0.005,0.055,0.193,0.022,0.063,0.044,0.167,46345,129600
"05147",0.334,0.067,0.221,0.156,0.069,0.24,0.215,0.181,0.055,0.003,0.02,0.135,0.014,0.109,0.02,0.38,43717,76800
"05149",0.309,0.039,0.168,0.226,0.082,0.175,0.238,0.182,0.044,0.058,0.047,0.155,0.062,0.058,0.016,0.223,51070,112100
